gene_id	go_id
Potri.001G047100	GO:0006888
Potri.001G047100	GO:0016021
Potri.001G047600	GO:0005759
Potri.001G048100	GO:0005515
Potri.001G048200	GO:0003700
Potri.001G048200	GO:0006355
Potri.001G048300	GO:0000166
Potri.001G048300	GO:0046872
Potri.001G048500	GO:0004672
Potri.001G048500	GO:0006468
Potri.001G048700	GO:0005524
Potri.001G048700	GO:0016020
Potri.001G048700	GO:0016887
Potri.001G048800	GO:0005524
Potri.001G048800	GO:0016020
Potri.001G048800	GO:0016887
Potri.001G048900	GO:0005524
Potri.001G048900	GO:0016020
Potri.001G048900	GO:0016887
Potri.001G049000	GO:0005524
Potri.001G049000	GO:0016020
Potri.001G049000	GO:0016887
Potri.001G049100	GO:0003824
Potri.001G049200	GO:0003824
Potri.001G049400	GO:0005515
Potri.001G050000	GO:0016491
Potri.001G050000	GO:0045454
Potri.001G050000	GO:0055114
Potri.001G050100	GO:0005515
Potri.001G050300	GO:0005524
Potri.001G050400	GO:0016021
Potri.001G050400	GO:0016192
Potri.001G050800	GO:0000160
Potri.001G050900	GO:0000160
Potri.001G051000	GO:0000160
Potri.001G051200	GO:0071949
Potri.001G051500	GO:0008610
Potri.001G051500	GO:0016747
Potri.001G051600	GO:0008610
Potri.001G051600	GO:0016747
Potri.001G051700	GO:0003824
Potri.001G051700	GO:0008152
Potri.001G051800	GO:0008152
Potri.001G051800	GO:0016747
Potri.001G051900	GO:0008152
Potri.001G051900	GO:0016747
Potri.001G052000	GO:0004672
Potri.001G052000	GO:0005515
Potri.001G052000	GO:0006468
Potri.001G052400	GO:0016787
Potri.001G052500	GO:0004672
Potri.001G052500	GO:0005515
Potri.001G052500	GO:0006468
Potri.001G053400	GO:0004672
Potri.001G053400	GO:0005524
Potri.001G053400	GO:0006468
Potri.001G053500	GO:0003700
Potri.001G053500	GO:0006355
Potri.001G053500	GO:0008270
Potri.001G053500	GO:0043565
Potri.001G053600	GO:0016020
Potri.001G053800	GO:0008375
Potri.001G053800	GO:0016020
Potri.001G053900	GO:0004417
Potri.001G053900	GO:0009228
Potri.001G054400	GO:0005524
Potri.001G054600	GO:0005507
Potri.001G054600	GO:0016491
Potri.001G054600	GO:0055114
Potri.001G054800	GO:0005506
Potri.001G054800	GO:0016705
Potri.001G054800	GO:0020037
Potri.001G054800	GO:0055114
Potri.001G054900	GO:0005742
Potri.001G054900	GO:0045040
Potri.001G055100	GO:0000226
Potri.001G055100	GO:0000910
Potri.001G055100	GO:0008017
Potri.001G055500	GO:0000160
Potri.001G055600	GO:0000160
Potri.001G055700	GO:0003824
Potri.001G055700	GO:0008152
Potri.001G055900	GO:0003677
Potri.001G055900	GO:0005634
Potri.001G056000	GO:0008270
Potri.001G056700	GO:0009765
Potri.001G056700	GO:0016020
Potri.001G057100	GO:0005515
Potri.001G057300	GO:0005783
Potri.001G057400	GO:0000155
Potri.001G057400	GO:0000160
Potri.001G057400	GO:0007165
Potri.001G057500	GO:0005622
Potri.001G057500	GO:0006810
Potri.001G057800	GO:0003677
Potri.001G057800	GO:0005515
Potri.001G057800	GO:0005634
Potri.001G058200	GO:0003677
Potri.001G058200	GO:0003700
Potri.001G058200	GO:0005634
Potri.001G058200	GO:0006355
Potri.001G058200	GO:0046983
Potri.001G058400	GO:0003677
Potri.001G058400	GO:0003700
Potri.001G058400	GO:0005634
Potri.001G058400	GO:0006355
Potri.001G058400	GO:0046983
